printed_page	letter	entry	page_reference
243		Control linkage	148
243		Control system, general description	146
243		Control system specifications	146
243		Controls, speed	146
243		Correct functioning, tests	165
243		Crank case	96
243		Crank case breathers	110
243		Crank case, lower half	101
243		Crank shaft	94
243		Crank shaft	101
243		Cutouts or generator switch, adjusting	169
243		Cylinder assembly	87
243		Cylinders	102
243	D	Description, brief	11
243	D	Description, carburetor	72
243	D	Description, engine and engine systems	45
243	D	Description, oiling system	83
243	D	Description of ventilating system	176
243	D	Device for unditching	177
243	D	Disassembling and inspection, high tension wiring	67
243	D	Disassembling and inspection, oil pump	86
243	D	Disassembling and inspection, connecting rods	91
244		Disassembling and inspection, cooling system	98
244		Disassembling and inspection cam shaft	79
244		Disassembling generator drive	83
244		Dismounting the pistons	89
244		Distributors	65
244		Distributor base	67
244		Doors, hull	39
244		Drive and control	14
244		Drive, chain	130
244		Drive chain, to remove	134
244		Drive, how to	15
244		Drive, low gear	126
244		Drive, progress of	120
244		Drive, the air pump	31
244		Drive, to disassemble cam shaft	81
244		Driver, water pump bevel	100
244		Driving member specifications	126
244		Driving sprocket chain	132
244		Driving wheel, road track	137
244		Driving wheel, road track	137
244	E	Electrical equipment	63
244	E	Electrical equipment, general description	160
244	E	Electrical equipment specifications	160
244	E	Engine, timing	103
244	E	Engine, to assemble the	101
244	E	Engine, to drain	57
244	E	Engine, to remove	110
244	E	Engine, to start	51
244	E	Engine-cooling system	98
244	E	Engine inspection	61
244	E	Engine lubrication	17
244	E	Engine-oil specifications	
244	E	Engine overhaul	63
244	E	Engine troubles	57
244	E	Engine and engine systems description	45
244	E	Engine and engine systems specifications	45
244	E	Epicyclic drive, progress	120
244	E	Epicyclic gear	18
244	E	Epicyclic gear, to remove	127
244	E	Epicyclic gear set, to mount	127
244	E	Epicyclic transmission specifications	119
244	E	Equipment, electrical	63
244	E	Equipment carried on Mark VIII machine	177
244	E	Equipment of machine	177
244	F	Fan bevel box	24
244	F	Fan capacity	176
244	F	Fan, to remove the sirocco	98
244	F	Fans, cooling	22
244	F	Fans, ventilating	22
244	F	Filling oil reservoir	51
245		Firing point, tappet gap and	105
245		Fitting connecting rod bearings	92
245		Fittings and equipment, miscellaneous	177
245		Front control rods	19
245	G	Gas motor, to start	161
245	G	Gasoline, mileage per gallon	17
245	G	Gasoline flow, to start	31
245	G	Gasoline petrol system	30
245	G	Gasoline pipe connections	32
245	G	Gasoline system	30
245	G	Gasoline system specifications	29
245	G	Gasoline tanks	30
245	G	Gauge, air pressure	53
245	G	Gear, epicyclic	18
245	G	Gear, towing	182
245	G	General description ammunition and armament	171
245	G	General description chain drive	130
245	G	General description control system	146
245	G	General description electrical equipment	160
245	G	General description epicyclic transmission	119
245	G	General description road track and track drive	136
245	G	Generator	25
245	G	Generator, care and maintenance	169
245	G	Generator, to dismount the	70
245	G	Generator drive, disassembling	83
245	G	Generator switch or cut-out, adjusting	169
245	G	Generator test	168
245	G	Governor	110
245	G	Ground pressures	11
245	H	Headers, intake	102
245	H	Headers, outlet	103
245	H	Headers, to remove intake	77
245	H	Headers, to remove water outlet	77
245	H	High-speed brake, to adjust	151
245	H	High-speed brake, to reline	154
245	H	High-speed progression	120
245	H	High-tension wiring, disassembling and inspection	67
245	H	Hinges, sponson	26
245	H	Hotchkiss spare parts	173
245	H	How to drive	15
245	H	How to steer	15
245	H	Hull, openings in	43
245	H	Hull doors	39
245	H	Hull layout	11
245	H	Hull structure specifications	35
245	I	Ignition, timing	107
245	I	Ignition switch	71
245	I	Inlet louver	176
246		Inspection, engine	61
246		Inspection, disassembling and	70
246		Inspection, disassembling and	86
246		Inspection, disassembling and	91
246		Inspection, disassembling and	99
246		Inspection and care	77
246		Instructions, lubricating	17
246		Instructions, operating	14
246		Instruction, special starting	160
246		Intake headers	102
246	J	Jockey pulley	25
246	L	Layout, hull	11
246	L	Lever, clutch	149
246	L	Levers, reverse	150
246	L	Linkage, control	148
246	L	Linkage reduction brake control	158
246	L	Links, track	137
246	L	Location of machine guns	175
246	L	Location of machine guns	182
246	L	Location of 6-pounder guns	175
246	L	Location of 6-pounder shells	171
246	L	Louvers	40
246	L	Louvers, to remove	41
246	L	Low, shifting to	15
246	L	Low gear drive	126
246	L	Low-gear brake, to reline	154
246	L	Low-speed brake, to adjust	154
246	L	Lower cam-shaft drive shafts	81
246	L	Lower road track roller, to remove	144
246	L	Lower road track rollers	18
246	L	Lower road track rollers with spring plates	141
246	L	Lower road track rollers without spring plates	141
246	L	Lubricating instructions	17
246	L	Lubricating routine	26
246	L	Lubrication, engine	17
246	M	Machine, equipment	177
246	M	Machine-gun ammunition	171
246	M	Machine-gun, to mount	175
246	M	Machine guns, location	175
246	M	Machine guns, location	182
246	M	Main turret	38
246	M	Maintenance and care of generator	169
246	M	Manifolds, water inlet	109
246	M	Mark VIII machine, equipment carried	177
246	M	Mileage per gallon gasoline	17
246	M	Miscellaneous fittings and equipment	176
246	M	Motor, starting	25
246	M	Mounted on bulkhead	42
247	N	Neutral point	104
247	O	Obstructions, passing over	16
247	O	Oil pump	86
247	O	Oil-pump assembly	110
247	O	Oiling system	83
247	O	Oiling system, description	83
247	O	Openings in hull	43
247	O	Operating instructions	14
247	O	Operation and description, constant current generators	166
247	O	Operation and description, starting motor	162
247	O	Outlet headers	103
247	O	Outline specifications	9
247	O	Overhaul, engine	63
247	P	Parts, 6-pounder	174
247	P	Passing over obstructions	16
247	P	Pinion, chain sprocket	130
247	P	Pinions, roller	24
247	P	Pins, track link	22
247	P	Pistons	89
247	P	Pistons, dismounting the	89
247	P	Point, neutral	104
247	P	Precaution	166
247	P	Preliminary to starting	14
247	P	Preparing engine for service	46
247	P	Pressures, ground	11
247	P	Progression, high speed	120
247	P	Progress of epicyclic drive	120
247	P	Progress of drive	13
247	P	Pulley, jockey	25
247	P	Pump, air	24
247	P	Pump, oil	86
247	R	Radiator, to remove the	98
247	R	Rear control rods	22
247	R	Regulator	167
247	R	Regulator, adjusting	169
247	R	Regulator, voltage	71
247	R	Remedies and troubles	165
247	R	Remove the track	142
247	R	Reservoir, filling engine oil	51
247	R	Reversing	15
247	R	Reverse levers	150
247	R	Reverse speeds	126
247	R	Rings	89
247	R	Road track	25
247	R	Road track adjusting screw	23
247	R	Road track adjusting wheel	138
247	R	Road track adjusting wheel	23
247	R	Road track adjusting wheel, to remove	143
248		Road track and track drive specifications	136
248		Road track driving wheel	23
248		Road track driving wheel	133
248		Road track driving wheel	137
248		Road track driving wheel, to remove	143
248		Road track rollers	140
248		Rod, connecting	101
248		Rods, aligning connecting	94
248		Rods, center control	20
248		Rods, front control	19
248		Rods, rear control	22
248		Roller, lower road track	18
248		Roller, sponson	38
248		Rollers, upper road track	19
248		Roller pinion, to remove	135
248		Roller pinion, to remove	144
248		Roller pinion and chain sprocket	132
248		Roller pinions	24
248		Roller spring, to remove	144
248		Rollers, road track	140
248		Rollers, top road track	142
248		Rollers, upper road track	18
248		Rollers with spring plates, lower road track	141
248		Rollers without spring plates, lower road track	141
248		Routine, lubricating	26
248	S	Service, preparing engine for	46
248	S	Screw, road track adjusting	23
248	S	Shaft clutch	24
248	S	Shafts, lower cam-shaft drive	81
248	S	Shifting to low	15
248	S	Shifting to reverse	15
248	S	Shock	166
248	S	Six-pounder guns, location	174
248	S	Six-pounder guns, to remove and replace	175
248	S	Six-pounder guns, to withdraw	174
248	S	Six-pounder parts	174
248	S	Six-pounder shells, location	171
248	S	Smoke bombs	172
248	S	Spare barrels	182
248	S	Spare machine-gun barrels	172
248	S	Spare parts, Hotchkiss	173
248	S	Spark and throttle	148
248	S	Special starting instruction	160
248	S	Specifications, ammunition and armament	171
248	S	Specifications, chain drive	130
248	S	Specifications, control system	146
248	S	Specifications, driving members	126
248	S	Specifications, electrical equipment	160
248	S	Specifications, engine and engine systems	45
248	S	Specifications, engine oil	49
248	S	Specifications, epicyclic transmission	119
248	S	Specifications, gasoline system	29
249		Specifications, hull structure	35
249		Specifications, road track and track drive	136
249		Specifications, table of	9
249		Specifications, ventilating system	176
249		Speed controls	146
249		Speeds, reverse	126
249		Sponson hinges	26
249		Sponson roller	38
249		Sponsons, to remove	42
249		Sponsons, to replace	42
249		Starting motor	25
249		Starting motor, operation and description	162
249		Starting, preliminary to	14
249		Steering	15
249		Steering	148
249		Sticking	165
249		Suggestions, cold weather	55
249		Summary of clearances	113
249		Switch, ignition	71
249		Synchronizing breakers	107
249		System, air pressure	32
249		System, cooling	97
249		System, engine cooling	97
249		System, gasoline	29
249		System, gasoline petrol	30
249		System, oiling	83
249		System, to fill cooling	47
249		System, to fill gasoline	31
249		Systems, the gasoline	47
249	T	Table of specifications	9
249	T	Table of weights	9
249	T	Tank, gasoline	30
249	T	Tappet gap and firing point	105
249	T	Tests to insure correct functioning	165
249	T	Timing ignition	107
249	T	The air-pump drive	31
249	T	The clutch lever	149
249	T	The gasoline systems	47
249	T	Throttle and spark	148
249	T	Throttles	103
249	T	Timing engine	103
249	T	Top road track roller, to remove	143
249	T	Top road track rollers	142
249	T	Towing gear	182
249	T	Track adjusting shaft	139
249	T	Track brake	156
249	T	Track brake, to adjust	158
249	T	Track drive and road track specifications	136
249	T	Track link, to remove	142
249	T	Track link pins	22
249	T	Track links	137
249	T	Track, road	25
250		Track, to adjust	142
250		Track, to remove	142
250		Transporting Mark VIII machine	17
250		Troubles, engine	57
250		Troubles and remedies	165
250		Turn, to make a wide	16
250		Turret, main	38
250		To adjust the Cardan brake	150
250		To adjust the clutch throw-out	151
250		To adjust the high-speed brake	151
250		To adjust the low-speed brake	154
250		To adjust the track	142
250		To adjust the track brake	158
250		To advance or retard valve setting	106
250		To assemble the engine	101
250		To disassemble cam-shaft drive	81
250		To dismount the generator	70
250		To drain engine	57
250		To fill cooling system	47
250		To fill gasoline system	31
250		To make a wide turn	16
250		To mount epicycle gear set	127
250		To mount machine gun	175
250		To open bulkhead door	42
250		To reassemble water pumps	100
250		To reline clutch	118
250		To reline high-speed brake	154
250		To reline low-gear brake	154
250		To remove and replace the 6-pounder guns	175
250		To remove chain casing	134
250		To remove engine	110
250		To remove intake headers	77
250		To remove louvers	41
250		To remove lower road track roller	144
250		To remove roller pinion	135
250		To remove roller pinion	144
250		To remove roller spring	144
250		To remove sponsons	42
250		To remove the clutch	118
250		To remove the drive chain	134
250		To remove the epicyclic gear	127
250		To remove the radiator	98
250		To remove the road track adjusting wheel	143
250		To remove the road track driving wheel	143
250		To remove the sirocco fan	98
250		To remove the track	142
250		To remove top road track roller	143
250		To remove track link	142
250		To remove valves	87
250		To remove water-outlet headers	77
250		To replace sponsons	42
250		To start engine	51
250		To start gasoline flow	31
250		To start the gas motor	161
250		To withdraw the 6-pounder guns	174
251	U	Unditching device	177
251	U	Units, cam-shaft housing	78
251	U	Unusual carburetor function	76
251	U	Upper road track rollers	18
251	V	Valve, air	75
251	V	Valve setting, to advance or retard	106
251	V	Valves	87
251	V	Valves, clean	88
251	V	Ventilating fans	22
251	V	Ventilating system, description	176
251	V	Ventilating system specifications	176
251	V	Voltage regulator	71
251	W	Water-inlet manifolds	109
251	W	Water-pump bevel driver	100
251	W	Weights, table of	9
251	W	Wheels, road track adjusting	138
251	W	Wheel road track driving	133
251	W	Wiring	160
251	W	Wiring, high-tension, disassembling and inspection	67
