page	part_number	quantity	description
227	M-2827	2	Sponson hinge on hull.
227	M-2828	2	Do.
227	M-2829	4	Sponson pin for hinge.
227	M-2830	4	Spsonson washer for hinge.
227	M-2831	4	Sponson nut for pin.
227	M-2832	2	Sponson roller bracket.
227	M-2833	2	Sponson shaft for roller.
229	M-2834	4	Sponson bracket for ramrod spring clip.
229	M-2835	4	Sponson spring clip for ramrod.
229	M-2836	1	Telescope bracket.
229	M-2837	1	Telescope bracket cup.
229	M-2838	1	Catch for telescope strap.
229	M-2839	2	Lug holding sponson in position.
229	M-2840	1	Sponson clip for lug.
229	M-2841	1	Support block for Hotchkiss gun (port side).
229	M-2842	2	Sponson footrest on floor plate.
229	M-2843	1	Support block for Hotchkiss gun (starboard).
229	M-2844	1	Peephole splash plate (special).
229	M-2845	20	Peephole splash plate.
229	M-2126	1	Camouflage bracket (port side).
229	M-2127	1	Camouflage bracket (starboard side).
229	M-2848	2	Ball bearing 40 m. m.; bore, 110 m. m.; O. D., 27 m. m wide.
229	M-3117	3	Hemispherical turret.
229	M-3118	3	Mounting for Hotchkiss machine gun (front plate).
229	M-3119	3	Mounting for Hotchkiss machine gun (rear plate).
229	M-3120	1	Cover plate for hemispherical turret.
229	M-3121	6	Bracket supporting hemispherical turret.
229	M-3122	6	Trunnion for hemispherical turret.
229	M-3123	6	Bolt and nut securing trunnion.
229	M-3124	24	Packing for bracket.
229	M-3125	24	Packing for trunnion.
229	M-3126	6	Bush for bracket.
229	M-3127	9	Pin for bracket and ring.
229	M-3128	3	Fastening ring for Hotchkiss M. G. hemispherical turret.
229	M-3130	3	Darlston washer for hemispherical turret.
229	M-3131	3	Handle for hemispherical turret.
229	M-3132	2	Felt strip for antisplash.
229	M-3133	2	Steel strip for anitsplash.
229	M-3134	10	Spring for anitsplash.
229	M-3135	2	Channel for antisplash.
229	M-2348	1	Main turret starboard side plate (front part).
229	M-2349	1	Main turret starboard side (rear part).
229	M-2350	1	Main turret port side (front part).
229	M-2351	1	Main turret port side (rear part).
229	M-2352	1	Drivers turret front flap plate.
229	M-2353	2	Main turret side flaps.
229	M-2354	2	Main turret side plate junction piece.
229	M-2355	1	Main turret roof doorplate (starboard).
229	M-2356	1	Main turret roof doorplate (port).
229	M-2357	1	Main turret roof door apron plate.
229	M-2358	2	Main turret roof door (side battons).
229	M-2359	4	Main turret roof door (end battons).
229	M-2360	1	Main turret bracket for machine-gun clip.
229	M-2362	1	Main turret front center plate.
229	M-2363	2	Main turret front wing plates.
229	M-2364	1	Main turret rear peephole splash plate.
229	M-2366	2	Main turret pin for fastener arrangement.
229	M-2372	1	Main turret roof plate (starboard).
229	M-2373	1	Main turret roof plate (port).
229	M-2374	4	Main turret flaps (side splash plates).
229	M-2375	2	Main turret flaps (bottom splash plates).
229	M-2376	2	Main turret flaps suspension chains.
229	M-2377	2	Main turret flaps catch plate.
229	M-2378	1	Main turret rear top angle (starboard).
229	M-2379	1	Main turret rear top angle (port).
229	M-2381	1	Main turret rear bottom angle.
229	M-2383	2	Main turret side top angle (front part).
229	M-2384	1	Main turret side top angle (rear starboard).
229	M-2385	4	Main turret flaps (side battons).
229	M-2386	2	Main turret flaps (bottom battons).
229	M-2387	1	Driver’s turret starboard side plate.
229	M-2388	1	Driver’s turret port side plate.
229	M-2389	1	driver’s turret roof plate.
229	M-2390	2	Main turret side bottom angles.
229	M-2391	2	Main turret flap ring.
229	M-2392	2	Main turret flap ring bolt.
229	M-2393	1	Main turret flap suspension bkt.
229	M-2394	2	Main turret flap top splash plate.
229	M-2395	2	Main turret front vertical angles.
229	M-2396	1	Main turret rear vertical angles (starboard).
229	M-2397	1	Main turret rear vertical angle (port).
229	M-2398	1	Main turret roof butt strap (front part).
231	M-2399	1	Main turret roof butt strap (center part).
231	M-2400	1	Main turret roof butt strap (rear part).
231	M-2401	1	Driver’s turret flap top splash plate.
231	M-2402	1	Driver’s turret flap starboard side splash plate.
231	M-2403	4	Driver’s turret flap hinge.
231	M-2404	1	Driver’s turret flap (port side) splash plate.
231	M-2405	1	Driver’s turret flap hinge pin.
231	M-2406	1	Main turret backplate (starboard).
231	M-2407	1	Main turret backplate (port).
231	M-2408	1	Main turret port side top angle (rear port).
231	M-2409	2	Periscope hole cover.
231	M-2410	2	Periscope hole cover lever.
231	M-2411	1	Periscope hole cover pin.
231	M-2414	1	Main turret roof door lock plate.
231	M-2415	2	Driver’s turret side bottom angles.
231	M-2416	2	Main turret front wing plate bottom angles.
231	M-2417	1	Main turret front center plate top angle.
231	M-2418	2	Main turret front wing plate top angle.
231	M-2419	2	Driver’s turret vertical angles.
231	M-2420	2	Main turret front butt straps.
231	M-2422	4	Main turret side plate butt straps.
231	M-2423	1	Driver’s turret plate for cover arrgt.
231	M-2425	1	Driver’s turret pin for cover arrgt.
231	H172—21579	1	Clip for Hotchkiss machine gun.
231	M-2426	1	Driver’s turret flap raising lever.
231	M-2427	2	Driver’s turret flap eyebolts.
231	M-2428	1	Driver’s turret flap raising lever guide.
231	M-2429	1	Driver’s turret flap locking lever.
231	M-2430	1	Driver’s turret flap locking lever pin.
231	M-716	2	Bracket for lock.
231	M-718	2	Packing piece for lock.
231	M-720	2	Catch for lock.
231	M-721	2	Spindle for lock.
231	M-722	2	Spring for lock.
231	P20—21195	2	Handle for lock.
231	M-3117		Hemispherical turret.
231	M-3118	1	Hotchkiss gun mounting for De. (front plate).
231	M-3119	1	Hotchkiss gun mounting for De. (rear plate).
231	M-3120	1	Cover plate for De.
231	M-3121	1	Supporting bracket.
231	M-3122	2	Trunnion.
231	M-3123	2	Trunnion bolt and nut.
231	M-3124	8	Bracket packing.
231	M-3125	8	Trunnion.
231	M-3126	2	Bracket bush.
231	M-3127	3	Ring pin.
231	M-3128	1	Gun mounting ring.
231	M-3130	1	Darlston washer for hemispherical turret.
231	M-3131	1	Handle for hemispherical turret.
231	A-20793	4	Ball pivot ring (outer) for Hotchkiss gun mounting.
231	B-20793	4	Ball pivot ring (inner) for Hotchkiss gun mounting.
231	C-20793	5	Gun pivot ball for Hotchkiss gun mounting.
231	D-20793	4	Fastening ring for Hotchkiss gun mounting.
231	E-20793	5	Trunnion bracket and handle for Hotchkiss gun mounting.
231	F-20793	5	Trunnion bracket and handle for Hotchkiss gun mounting.
231	G-20793	10	Spring for rifle clip for Hotchkiss gun mounting.
231	H-20793	4	Screw for fastening ring for Hotchkiss gun mounting.
231	J-20793	10	Rifle clip for Hotchkiss gun mounting.
231	K-20793	4	Darlaston washer for Hotchkiss gun mounting.
231	K1-20793	10	Stop pin for Hotchkiss gun mounting.
231	K2-20793	5	⅛-inch jack chain, 4 inches long each, for Hotchkiss gun mounting. / 8 inches long each, for Hotchkiss gun mounting.
231	L-20793	4	Handle for Hotchkiss gun mounting.
231	O-20793	20	Set screw (long) for Hotchkiss gun mounting.
231	P-20793	10	Set screw (short) for Hotchkiss gun mounting.
231	E43—21220	1	Driver’s turret rubber washer for periscope.
231	F19—21210	2	Main turret roof door fastener.
231	M45—21421	1	Main turret roof door Chubb lock (8 keys).
231	M-2627	2	Revolver hole cover swivel, pin and nut (left hand).
231	C138—20384	3	Revolver hole cover plate.
231	A42—21221	3	Revolver port cover handle.
231	C42—21221	3	Revolver port cover Thackery washers.
231	D42—21221	3	Revolver port cover handle spring.
231	E42—21221	3	Revolver port cover Grover washer.
231	F42—21221	6	Revolver port cover stop pins.
233	B42—21221	1	Revolver port cover swivel pin and nut (right hand).
233	J206—21067	3	Handle for holding-on.
233	M-2845	10	Peep hole splash plate.
233	1 by 90	11	Cover plate for revolving peephole cover.
233	2 by 90	11	Revolving plate for revolving peephole cover.
233	3 by 90	11	Packing plate for revolving peephole cover.
233	4 by 90	11	Operating knob for revolving peephole cover.
233	5 by 90	11	Padded head rest for revolving peephole cover.
233	6 by 90	11	Operating bolt for revolving peephole cover.
233	7 by 90	11	Operating peg for revolving peephole cover.
233	8 by 90	11	Spring shield for revolving peephole cover.
233	9 by 90	11	Spring for revolving peephole cover.
233	M-1789	8	Half hinge for roof and side flaps.
233	M-1790	8	Half hinge for roof and side flaps.
233	M-1791	8	Pin for hinge for roof and side flaps.
233	M-2432	1	Outlook turret, compass bracket.
233	M-2346	2	Outlook turret side plate.
233	M-2347	2	Outlook turret front and rear plates.
233	M-2361	1	Outlook turret roof plate.
233	M-2367	2	Outlook turret top angles (front and rear).
233	M-2368	2	Outlook turret top angles (sides).
233	M-2369	4	Outlook turret vertical angles.
233	M-2370	2	Outlook turret bottom angles (front and rear).
233	M-2371	2	Outlook turret bottom angles (sides).
233	M-2409	2	Periscope hole cover.
233	M-2410	2	Periscope hole cover lever.
233	M-2411	2	Periscope hole cover pin.
233	M-2845	4	Peephole splash plates.
233	X-90	4	Peephole covers
233	M-1030	1	Jockey pulley for large fan.
233	M-1050	1	Adjusting rod for jockey pulley.
233	M-564	1	Tension spring for jockey pulley.
233	M-1047	1	Cover plate for jockey pulley.
233	M-1031	1	Arm for jockey pulley.
233	M-1045	1	Pin for jockey pulley.
233	M-1048	1	Bracket for jockey pulley.
233	M-1049	1	Adjusting plate for jockey pulley.
233	M-1045A	1	Pin for jockey pulley.
233	M-1046	1	Distance tube for jockey pulley.
233	M-1613	1	Dynamo.
233	M-1614	1	Diagram of belt drive.
233	M-858		Pulley on Liberty engine.
233	M-874		Pulley on Ricardo engine.
233	M-1615	2	Lighting dynamo brackets.
233	M-982	1	Starboard side frame.
233	M-983	1	Port side frame.
233	M-984	1	Front end frame.
233	M-985	1	Back end frame.
233	M-986	1	Cover plate.
233	M-987	39	Louver blade.
233	M-995	2	Retaining plate.
233	M-996	2	Saddle.
233	M-998	2	End packing piece
233	M-997	66	Distance piece.
233	M-999	4	Corner cleat.
233	M-1000	2	Thickening plate at adj. screw
233	M-1005	1	Packing strip, port side.
233	M-988	2	Retaining plate.
233	M-989	1	Port side frame.
233	M-990	1	Starboard side frame.
235	M-991	1	Rear end frame.
235	M-992	1	Front end frame.
235	M-993	1	Cover plate.
235	M-994	29	Louver blade.
235	M-996	2	Saddle.
235	M-997	56	Distance piece.
235	M-998	2	End packing piece.
235	M-999	4	Corner cleat.
235	M-1000	2	Thickening plate at adj. screw.
235	M-1004	2	Fishplate on starboard side frame.
235	M-3292	1	Oil tank (engine).
235	M-3293	1	Filler flange.
235	M-3294	1	Filler-flange cap.
235	M-3295	1	Filler-cap gasket.
235	M-3296	1	Top ring for filter.
235	M-3297	1	Bottom ring for filter.
235	M-3298	1	Cone for delivery pipe.
235	M-3299	1	Filter body.
235	M-3300	1	Filter gauze.
235	M-3301	1	Oil-delivery pipe.
235	M-3304	2	Indicator flange.
235	M-3305	2	Indicator-flange cap.
235	M-3307	1	Indicator-float tube.
235	M-3308	1	Indicator rod.
235	M-3309	1	Indicator float.
235	M-3310	4	Oil-tank support cleat.
235	M-3311	2	Drain-cock flange.
235		1	Drain cock.
235	M-3312	1	Oil tank for sprockets and epicyclic brgs.
235	SH971B + SH971A	2	Sprocket oil-tank support.
235	M-3314	1	Sprocket oil-tank lubricator.
235	M-3315	2	Engine oil-tank suction and delivery flange.
235	M-3311	1	Oil-tank flange for drain cock.
235	SH207A	1	Suction oil tube.
235	SH207B	1	Overflow oil tube.
235	SH207C	2	Suction oil-tube flange.
235	SH207D	2	Suction oil-tube nipple nut.
235	SH207E	1	Suction oil-tube nipple.
235	SH207F	1	Suction oil-tube elbow.
235	SH207G	2	Oil-pipe flange gasket.
235	M-1472	2	Bracket for tension adjusting screw.
235	M-1474	1	Shaft for tension adjusting screw.
235	M-1479	2	Guard in hull plate for adjusting screw.
235	M-1475	2	Locking screw for adjusting screw.
235	M-1476	2	Plug for locking screw-adjusting screw.
235	M-1473	2	Tension adjusting screw.
235	M-1477	2	Nut for shaft for track adj. wheel.
235	M-1410	2	Plug ⅜ inch
235	M-1471	2	Rim for road track adj. wheel.
235	M-1404	2	Disk for road track adj. wheel.
235	M-1405X + M-1405Y	6	Diaphragm for road track adj. wheel.
235	M-1409	2	Bushing for road track adj. wheel.
235	M-1483	2	Washer for track adjusting shaft.
235	M-1484	2	Plate for track adjusting bracket.
235	M-1403	1	Boss for road track adjusting wheel.
235	M-1401	2	Teeth for road track wheel.
235	M-1402	1	Shaft for road track wheel.
235	M-1403	1	Boss for road track wheel.
235	M-1404	2	Disk for road track wheel.
237	M-1405	4	Diaphragm for road track wheel.
237	M-1406	1	Shaft bearing inner end.
237	M-1407	1	Shaft bearing outer end.
237	M-1409	2	Bushing for road track driving wheel.
237	M-1410	1	Plug in end of shaft.
237	M-1411	2	Locking plate for shaft nut.
237	M-1552	1	Stud plate for shaft bearing.
237	20297—D89	1	Key for road track driving wheel shaft .
237	M-1477	2	Nut for shaft.
237	M-1261	312	Road track link (right hand).
237	M-1262	312	Pin for road track link.
237	M-1263	312	Bushing for road track link.
237	M-1264	156	Road track shoe.
237	M-1265	312	Road track link (left half).
237	M-1333	1	Road track roller tube.
237	M-1335	2	Spring steel split rings.
237	M-1332	2	Road track roller.
237	M-1336	1	Road track roller spring.
237	M-1334	2	Road track roller spring plates.
237	M-1337	1	Road track roller pin.
237	M-1339	2	Road track roller tube bushing.
237	M-1410	1	.375 plug.
237	M-1338	2	Road track roller pin staple and nut.
237	M-1333	1	Road track roller tube.
237	M-1335	2	Spring steel split ring.
237	M-1332	2	Road track rollers.
237	M-1337	1	Road track roller pin.
237	M-1339	2	Road track roller tube bushing.
237	M-1410	1	.375 plug.
237	M-1338	2	Road track roller pin staples and nut.
237	M-1541B	1	Chain sprocket and roller pinion.
237	M-1542	18	Roller.
237	M-1543	18	Pin for roller pinion rollers.
237	M-1550	18	⅛-inch taper plug for roller pin.
237	M-1409	2	Driving wheel.
237	M-1544	1	Shaft for roller pinion.
237	M-1407	1	Outer shaft bearing.
237	M-1546	1	Inner shaft bearing.
237	M-1552	1	Plate for shaft bearing.
237	20297—D89	1	Wheel shaft.
237	M-1549	2	¾-inch taper plug in shaft.
237	M-1541A	1	Roller pinion sprocket.
237	M-1333	1	Road track roller tube.
237	M-1335	2	Spring steel split rings.
237	M-1341	2	Top road track roller.
237	M-1337	1	Road track roller pin.
237	M-1339	2	Road track roller tube bushing.
237	M-1410	1	.375 plug.
237	M-1338	2	Road track roller pin staple and nut.
239	M-37	1	Silencer body (port).
239	M-38	1	Silencer body (starboard).
239	M-39	1	Silencer end (port).
239	M-40	1	Silencer end (starboard)
239	M-41	2	Silencer end (rear).
239	M-42	6	Silencer tie rods.
239	M-43	2	Silencer inlet pipe.
239	M-44	2	End for silencer inlet pipe.
239	M-45	2	Silencer outlet flange.
239	M-48	2	Washer for silencer outlet flange.
239	SH586A	1	Distance recorder head assembly—model 26 DLh calibrated 2,500 revs.; 10 / revs. to register 1 meter.
239	B-5	1	Cup.
239	B-94	1	Frame.
239	K-67L	1	Governor.
239	L-255L	1	Pinion.
239	L-256	1	Odometer.
239	D-60N	1	Dial.
239	F-3WN	1	Hand.
239	B-17-BKN	1	Ring.
239	J-3	3	Screws.
239	J-4	2	Screws.
239	SH386D	1	Assembly of cable.
239	P-199	1	Coupling end.
239	P-303	1	Coupling end.
239	P-30	1	5 Casing.
239	P-390	2	Coupling nut.
239	P-59	1	Coupling end.
239	P-27	1	Coupling end.
239	P-55	1	Coupling collar.
239	P-29	1	Coupling collar.
239	S-374	1	Housing.
239	S-372A	1	Pinion shaft and gear.
239	S-373	1	Pinion shaft bearing.
239	S-35	2	Washers.
239	S-34	1	Cap.
239	SH80A	1	Generator assembly.
239	SH137A	1	Bracket.
239	SH81A	1	Starting-switch assembly.
239	SH137B	1	Starting-motor bracket cap.
